Trial_ID,Title,Year,Background,Health_Condition,Study_Type,Intervention,Study_Phase,Sample_Size,Primary_Endpoint,Trial_Outcome (Met/Not met),Outcome_Summary,Source
ISRCTN68069634,"The effects of a 2-week whole-body electromyostimulation in cancer patients",2019,"Various studies show that regular physical activity is an efficient approach to increase medical therapy tolerance and may even improve its effectiveness in cancer patients. However, it is not always possible for patients to perform strenuous and time-consuming exercise programs. For that reason, whole-body electromyostimulation (WB-EMS) may be an interesting alternative form of exercise for cancer patients. In contrast to voluntary muscle contraction caused by small electrical impulses from the central nervous system, WB-EMS generates muscle contraction by an external EMS device. Therefore, the primary aim of this study was to examine whether 2 weeks of WB-EMS exercise are feasible and effective in cancer patients during medical treatment.",Cancer,Interventional,Device,Phase 1/Phase 2,13,Adherance to training intervention,Met,"The pilot-study has shown that WB-EMS is possible and feasible in oncological patients. Two-weeks of WB-EMS application showed positive effects in subjectively perceived physical functionality and quality of life in cancer patients, suggesting the potential of this exercise method even in short-term time-periods. The skeletal muscle mass did not change. We reason that WB-EMS could be of great value as training method in patients’ collectives who may not be able to perform conventional strength training protocols due to medical limitation (for instance: bone-metastasis), time-reasons or already prevalent muscle atrophy or cachexia. These patient collectives would be interesting to focus in future research trials including WB-EMS exercise. Furthermore, the observed effects of this 2-week intervention may suggest WB-EMS as promising approach for prehabilitative exercise interventions.",https://doi.org/10.1186/ISRCTN68069634
ISRCTN10954990,Study on lung cancer screening in head and neck cancer patients using low-dose CT and chest x-ray,2023,"Patients with head and neck squamous cell cancer (HNSCC) are at a greater risk of developing pulmonary metastases and/or second primary lung cancer. However, it remains uncertain whether lung screening in these patients, when the initial staging studies are negative, confers any survival benefit.
This study aims to evaluate long-term cancer survival outcomes in patients with HNSCC undergoing chest radiography vs low-dose computed tomography screening for pulmonary metastasis and/or second primary lung cancer.",Lung Cancer,Interventional,Screening,Phase 2/Phase 3,137,Screening sensitivity,Met,"The findings of this randomized parallel trial indicate that low-dose computed tomography exhibits statistically significant superior sensitivity compared with chest radiography for diagnosing lung metastases and second primary lung cancer. However, there were no important differences in survival rates. These results hold practical significance, offering valuable insights to clinicians who are guiding decisions regarding lung screening protocols.",https://doi.org/10.1186/ISRCTN10954990
ISRCTN39194106,Breast health education program to promote breast self-examination practice among high-risk Pakistani women,2024,"Objectives:  1. Breast self-examination practice score in high-risk adult Pakistani women after participating in a culture-based breast health education program at three months
will be higher than before the intervention program.
2. Breast self-examination practice score of high-risk adult Pakistani women in an experimental group who receive culture-based breast health program at
three months will be higher than the control group who receive usual care.",Breast cancer,Interventional,Behavioural,Phase 2/Phase 3,72,Self-examination awareness,Met,"After 12 weeks, Breast self-examination practice (BSEP) was improved in the experimental group who received the culture based breast health education program, while there was no change in BSEP in the control group who received usual care only.  ",https://doi.org/10.1186/ISRCTN39194106
ISRCTN17395989,The use of autologous platelet-rich-plasma during surgery in patients with gynecological cancer improves wound healing and reduces postoperative pain feeling,2019,"Oncological patients are at high risk of developing postoperative wound complications, including failure of proper wound healing (wound dehiscence), defined as complete or partial wound separation (>1 cm long). Platelet-rich plasma (PRP) is a concentrate of plasma rich in platelets derived from whole blood, centrifuged to remove red blood cells. It has a higher concentration of growth factors than whole blood and is widely used in regenerative medicine to encourage the healing of bone and soft tissues. The use of PRP may also reduce pain in the postoperative period. This study aims to evaluate the impact of PRP application during surgical treatment on wound healing and pain intensity feeling in patients with gynecological cancers (ovarian, endometrial or cervical cancer).",Gynaecological cancer,Interventional,Biological/Vaccine,Phase 2/Phase 3,46,Wound healing and pain relief,Met,"The presented study demonstrated that PRP application during abdominal closure in patients with gynaecological malignancies undergoing laparotomy improves wound healing and also reduces pain and the use of analgesics in the early postoperative period. Taking into consideration that cancer patients are at high risk of wound complications that may have detrimental effects for further treatment, i.a. causing a need to postpone adjuvant treatment, such as chemo- or radiotherapy, the use of PRP may be a promising and completely safe method for enhanced recovery in this group of women.",https://doi.org/10.1186/ISRCTN17395989
ISRCTN12021668,The influence of body composition on liver cancer patients undergoing surgery,2024,Stage I/II hepatocellular carcinoma (HCC) is early-stage liver cancer that is localized to the liver and has not spread to other parts of the body. The effect of body composition on stage I/II HCC after surgery is unknown. This study aimed to investigate the impact of low skeletal muscle bulk and disturbed body fat mass on cancer recurrence in stage I/II HCC patients undergoing liver surgery.,Hepatocellular carcinoma,Observational cohort study,Other,Phase 2/Phase 3,541,To observe low skeletal muscle bulk and disturbed body fat mass impact tumor recurrence in stage I/II hepatocellular carcinoma undergoing surgery,Met,"The study demonstrated that low PMI and high SAT index were independent prognostic factors for recurrence in stage I/II HCC after liver resection. A reduced psoas muscle mass would increase the risk of tumor recurrence, while an increased subcutaneous fat volume decreased it. VAT, on the other hand, was not associated with tumor recurrence after surgery. Our newly developed scoring system, which incorporated patient factor skeletal muscle and body fat mass could estimate the risk of early recurrence after liver resection. In addition, in patients with low PMI or high SAT index, free fatty acid β-oxidation was enhanced to provide additional energy supply. Further studies are warranted to unravel the mechanistic relationships and therapeutic potentials between disturbed body composition and the outcome of HCC.",https://doi.org/10.1186/ISRCTN12021668
ISRCTN53410429,Minimally-invasive versus open surgery for gastric cancer - cross-sectional analysis,2019,"Since gastric (stomach) cancer is one of the most common cancers worldwide, this study aimed to assess the outcomes of the two most common types of surgery among gastric cancer patients: open surgery versus minimally invasive (laparoscopic, robotic) surgery.",Gastric cancer,Observational cohort study,Treatment,Phase 3/Phase 4,13885,"Compare open surgery to minimally invasive (laparoscopic, robotic) surgery.",Met,An overall increase in guideline-adherent treatment and achievement of TOO among patients with LAGC undergoing multimodal and curative-intent treatment in the United States was observed. Adoption of minimally invasive gastrectomy may result in improved short- and long-term outcomes.,https://doi.org/10.1186/ISRCTN53410429
ISRCTN89098304,Sonographic evaluation of axillary lymph node status in newly diagnosed breast cancer patients: A prospective study,2023,"Axillary lymph node metastasis is one of the most significant indicators of overall recurrence and long-term survival in breast cancer patients. The 5-year survival rate for individuals with breast-confined disease ranges from 90 to 99%, but it falls to 85% for those with regional lymph node metastases. Therefore, a correct evaluation of axillary lymph node status is important for staging breast cancer and choosing the best treatment. Sonography can detect metastatic lymph nodes with varying degrees of sensitivity and specificity, while its routine use in the preoperative assessment of axillary lymph nodes remains controversial. The aim of this study is to assess the diagnostic accuracy of pretreatment axillary sonography in a clinical setting in Iraq and to determine whether a sonographic evaluation of the axilla as a tool for the regional staging of breast cancer should be routinely performed in all cases.",Breast cancer,Observational cohort study,Diagnostic,Phase 2/Phase 3,180,Detection metastatic lymph nodes through sonography ,Met,"The sonographic assessment of the axilla in newly diagnosed breast cancer patients was satisfactory, with a high accuracy rate (92. 4%).Therefore, we encourage the use of this simple method of imaging in this regard, as it is relatively cheap and affordable compared to other imaging methods. Further research is needed to evaluate the application of emerging ultrasound techniques and their integration with other diagnostic procedures to enhance patient diagnosis and care quality. ",https://doi.org/10.1186/ISRCTN89098304
ISRCTN16865769,Investigating COVID-19 infection in patients with acute myeloid leukaemia (AML) undergoing chemotherapy,2023,"The COVID-19 pandemic presents a major challenge for treating patients with Acute Myeloid Leukaemia (AML), an aggressive cancer predominantly affecting the elderly, who are already at high risk for severe COVID-19. Since AML treatment cannot be delayed, clinicians face a dilemma: standard intensive chemotherapy offers the best chance of a cure but causes severe immunosuppression and requires long hospital stays, increasing the risk of hospital-acquired COVID-19. Compounded by the fact that AML patients are already vulnerable to other deadly infections, there is currently no data to guide the management of AML patients who contract the virus. Therefore, a study is proposed to collect data on the outcomes, infection rates, and severity in AML patients with COVID-19 to establish best practices and update treatment recommendations during the pandemic era.","Acute myeloid leukaemia, COVID-19",Observational cohort study,Other,Phase 2/Phase 3,321,To assess incidence of COVID-19 infection during treatment of Acute Myeloid Leukaemia (AML),Unknown,Unknown,https://doi.org/10.1186/ISRCTN16865769
ISRCTN69229101,Development of a tool for effective comparisons of breast cancer survival between hospitals,2022,"Breast cancer prognosis depends on several factors including how biologically aggressive the breast cancer is as well as other patient-related factors (for example other diseases).
Comparing survival rates for patients with breast cancer between Swedish hospitals does not take into consideration that different hospitals might have underlying differences in their patient populations that impact the chance of survival. It is therefore hard to interpret whether the hospital with the highest survival has the best breast cancer care or if that hospital happens to have the patients with the best prerequsites to survive their diagnosis.
This study aims to create a tool for the patient, healthcare and policymakers for continuous follow-up of breast cancer care nationally and in the long-term internationally. This enables more transparent and effective comparisons of breast cancer survival between Swedish hospitals. It is hoped that this will lead to an even more equal and high-quality breast cancer care in Sweden.",Breast cancer,Observational cohort study,Other,Phase 3/Phase 4,45441,"Overall model performance, discrimination and calibration of a model on 5-year relative survival",Met,"This study showed that risk-adjustment is relevant when benchmarking OS in BC, even when comparing regions from the same country that share the same national treatment guidelines. This is, to our knowledge, the first published risk-adjusted benchmarking of OS in HER2-positive BC.",https://doi.org/10.1186/ISRCTN69229101
ISRCTN14197181,A multi-centre randomised controlled trial examining the effects of temporarily pausing Bruton Tyrosine Kinase inhibitor therapy to coincide with SARS-CoV-2 vaccination and its impact on immune responses in patients with Chronic Lymphocytic Leukaemia,2024,"Chronic lymphocytic leukaemia (CLL) is a blood cancer that affects the white blood cells called lymphocytes. It is the commonest adult leukaemia, with 3,800 people diagnosed each year in the UK. It is more common in people aged over 60 years. Currently some 31,900 people have CLL in the UK.
CLL develops slowly and there is no cure. People with CLL have a weakened immune system and are susceptible to infections. These infections can be severe and life-threatening. New drugs called Bruton Tyrosine Kinase inhibitors (BTKi) have transformed the outlook for CLL patients, however they stop the immune response to vaccination. They need to be taken daily and continuously. They are sometimes paused if a patient needs an operation. In the UK, they are used at all stages of treatment. The IMPROVE study aims to find out:
Does pausing BTKi inhibitor drugs for a total of three weeks before and after having the COVID vaccine improve the antibody response and is this well tolerated?",Chronic lymphocytic leukaemia,Interventional,Other,Phase 2/Phase 3,99,To assess whether a temporary three-week pause of daily Bruton tyrosine kinase inhibitor (BTKi) treatment around SARS-CoV-2 vaccination improves the immune response in people with chronic lymphocytic leukaemia (CLL) whilst maintaining disease control.,Not met,"This randomised trial found no benefitin pausing BTKi therapy around the time of vaccinationwith a SARS CoV 2 booster. As such, in clinical practice,individuals should not be recommended to pause theirBTKi therapy to enhance immunity to vaccination. Theresults highlight the importance of testing treatmentinterventions in a powered, randomised setting but also the need for more fundamental science to consider thedrivers of the heterogeneous responses observed. Thisvulnerable group continues to be at risk from infectionsand necessary precautions should be adopted whereavailable, such as monoclonal antibody prophylaxis.",https://doi.org/10.1186/ISRCTN14197181
